Payment_Gateway_ID,total_revenue,total_cash
PAY0001,,2536.15
PAY0002,1206.646463107852,91206.78816
PAY0003,,847.40271
PAY0004,,82369.50137
PAY0005,,1763.04
PAY0006,,78493.95999999999
PAY0007,,84320.2898
PAY0008,,42735.39325
PAY0009,,43211.27196
PAY0010,,2902.66
PAY0011,,116567.35
PAY0012,3538.000828970875,141911.61
PAY0013,,6.41101
PAY0014,3407.191941310684,14313.05
PAY0015,,1931.89471
PAY0017,1526.8190176857593,2559.82926
PAY0019,,70296.4012
PAY0020,3200.372539237512,1479.08189
PAY0021,704.8034222731321,270.23
PAY0022,,52250.116180000005
PAY0023,,156330.01
PAY0024,,58037.34523
PAY0025,2539.528723970213,89655.85
PAY0026,,1106.39
PAY0028,,2342.02
PAY0029,,994.82
PAY0030,,618.21
PAY0031,,44119.81241
PAY0032,4384.7224591756985,108668.52504000001
PAY0033,,88762.81164
PAY0034,3700.1775544860034,905.7646300000001
PAY0035,,124497.78521
PAY0036,,72537.71706
PAY0037,,9898.74839
PAY0038,,80424.676
PAY0039,,80112.1
PAY0040,,74149.87903
PAY0041,,1.13415
PAY0042,,613.04
PAY0043,,49846.79586
PAY0044,,1135.34
PAY0045,4365.554136191821,27624.20666
PAY0046,,98576.75956
PAY0047,,91522.41133999999
PAY0048,2564.3887876218737,15940.08081
PAY0049,,14229.220000000001
PAY0050,4335.757157375654,74906.54
PAY0051,2723.756709838888,1144.1406200000001
PAY0052,,1.4146
PAY0053,2468.099835189611,93973.74
PAY0054,,5548.13
PAY0055,,97865.47
PAY0056,4291.102105516167,26394.25
PAY0057,,15814.99863
PAY0058,,87135.44
PAY0059,,2916.80822
PAY0060,1003.6062611032796,1435.18229
PAY0062,,78489.89177
PAY0063,,94292.0
PAY0064,,100363.14
PAY0065,1015.9008086401038,92569.81
PAY0066,,96731.39
PAY0067,,62826.66759
PAY0068,,14535.77
PAY0069,,153560.62
PAY0070,,3344.40724
PAY0071,3279.033146948413,98656.26
PAY0072,,134500.71675
PAY0073,,160224.16192
PAY0074,,13672.0
PAY0075,,89388.83719
PAY0076,4852.444299385832,2232.33883
PAY0077,,260116.0
PAY0078,3651.3277874717214,100574.41771
PAY0079,,3558.1499999999996
PAY0080,3334.66752269318,116067.53038
PAY0081,,92842.34333999999
PAY0082,,3303.5046300000004
PAY0083,,14308.10153
PAY0084,,2493.69
PAY0085,1456.8914253223363,3633.51439
PAY0086,,5071.18
PAY0087,3073.976571377303,147497.60972
PAY0088,1496.8434411596504,2804.5
PAY0089,,740.9123500000001
PAY0090,3716.84510691051,910.26055
PAY0091,1510.1921006538405,4365.248869999999
PAY0092,,64078.8138
PAY0093,2459.2495288414593,96812.39602
PAY0094,2486.8305953505715,239.95999999999998
PAY0095,,189848.87
PAY0096,2875.0628102332707,93162.0
PAY0097,1851.240536559738,924.39032
PAY0098,,1014.22
PAY0099,,1667.72545
PAY0100,4874.3681181461925,361.27
PAY0101,,17840.42
PAY0102,2341.8919372654977,37473.111170000004
PAY0103,,51275.12231
PAY0104,4668.066691125833,1300.58
PAY0105,1928.2209591496692,1425.57304
PAY0106,,2130.84
PAY0107,,41685.05401
PAY0108,,368.44512000000003
PAY0109,,109417.17441
PAY0110,4654.005583475418,43539.18
PAY0111,3867.0882816935946,1969.42629
PAY0112,2500.599455402306,21536.08
PAY0113,4118.570203703572,3397.92
PAY0114,,99152.19324
PAY0115,1090.790008125448,4.87561
PAY0116,,2740.45
PAY0118,,92260.64204
PAY0119,,2127.3296499999997
PAY0120,,199.40610999999998
PAY0121,,38436.0
PAY0122,1727.5619919196756,4073.0597199999997
PAY0123,3423.82921716579,62836.00517
PAY0124,,1162.93
PAY0125,526.1241233529233,
PAY0126,1441.5326615052472,3695.05
PAY0127,,64577.67423999999
PAY0128,,4.98083
PAY0129,,902.81648
PAY0130,,1.71969
PAY0131,2649.251143274975,1164.58
PAY0132,,1552.79574
PAY0133,1342.3628021017284,1369.9798700000001
PAY0134,1155.1293765431892,56319.0
PAY0135,,1.39226
PAY0136,,20288.747190000002
